,name,location,2011,2012,2013,2014,2015,2016,2017,2018
0,Harvard University,United States,98.8,99.8,99.2,99.1,98.9,99.8,99.7,99.7
1,California Institute of Technology,United States,99.9,99.9,99.7,99.8,99.7,99.8,99.8,99.5
2,Massachusetts Institute of Technology,United States,99.9,100.0,99.9,100.0,100.0,99.7,99.9,100.0
3,Stanford University,United States,99.2,99.8,99.3,99.1,99.1,99.9,99.9,99.9
4,Princeton University,United States,99.9,100.0,99.8,99.7,99.6,99.3,99.2,99.6
5,University of Oxford,United Kingdom,95.1,97.9,95.6,95.4,95.5,98.8,99.2,99.1
6,University of Cambridge,United Kingdom,94.0,97.3,96.2,95.7,95.2,97.0,96.8,97.5
7,"University of California, Berkeley",United States,97.8,99.4,99.3,99.3,99.1,99.7,99.8,99.8
8,Imperial College London,United Kingdom,88.3,93.9,93.0,90.0,89.4,96.7,97.3,96.7
9,Yale University,United States,91.5,96.7,94.8,93.5,94.0,97.2,97.8,98.4
10,"University of California, Los Angeles",United States,93.2,97.3,95.9,95.6,95.3,98.5,98.4,97.9
11,University of Chicago,United States,96.9,99.4,98.7,98.0,97.3,99.2,99.1,99.4
12,Johns Hopkins University,United States,92.3,97.3,95.3,95.0,93.6,98.2,98.4,98.4
13,Cornell University,United States,88.1,93.5,91.8,90.8,91.5,97.2,97.2,97.6
14,University of Michigan,United States,84.1,94.3,91.6,90.8,88.9,94.4,95.8,95.7
15,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,83.1,87.2,86.6,85.0,83.5,91.1,92.5,94.3
16,University of Toronto,Canada,82.2,86.5,85.1,84.5,83.0,90.9,91.9,92.6
17,Columbia University,United States,92.6,97.8,96.1,95.6,95.3,98.1,98.6,98.8
18,University of Pennsylvania,United States,93.6,97.9,96.2,95.0,94.4,98.6,98.6,98.5
19,Carnegie Mellon University,United States,95.7,97.4,95.5,93.9,92.0,99.1,99.3,99.7
20,University of Hong Kong,Hong Kong,96.1,60.5,62.1,61.5,65.1,70.1,73.2,74.2
21,UCL,United Kingdom,80.6,89.0,86.8,84.1,85.1,94.2,94.0,94.6
22,University of Washington,United States,95.9,98.2,97.0,95.6,95.0,98.6,98.8,99.0
23,Duke University,United States,92.3,97.4,97.0,96.7,96.6,99.0,98.8,98.3
24,Northwestern University,United States,95.3,98.6,98.2,97.1,96.9,96.5,97.0,96.9
25,The University of Tokyo,Japan,58.1,69.1,71.3,69.8,74.7,60.9,62.4,63.7
26,Georgia Institute of Technology,United States,83.2,91.9,90.3,87.9,85.8,86.0,90.8,94.3
27,Pohang University of Science and Technology,South Korea,96.5,92.3,88.2,85.7,84.4,76.7,79.2,76.4
28,"University of California, Santa Barbara",United States,98.8,99.9,99.4,99.4,99.2,99.2,99.2,98.8
29,University of North Carolina at Chapel Hill,United States,85.0,92.6,90.1,90.2,91.0,95.9,96.1,96.7
30,University of British Columbia,Canada,80.3,85.2,84.0,83.7,85.3,91.5,92.9,93.4
31,"University of California, San Diego",United States,90.8,97.8,96.2,96.7,96.4,98.7,98.9,98.6
32,University of Illinois at Urbana-Champaign,United States,72.9,81.5,80.8,79.4,77.8,86.8,89.3,88.9
33,National University of Singapore,Singapore,78.7,63.4,67.2,66.4,66.0,79.4,79.7,81.3
34,McGill University,Canada,69.0,77.1,75.2,74.5,76.0,78.9,81.8,84.7
35,University of Melbourne,Australia,83.3,80.7,83.7,80.2,80.6,86.6,88.1,90.3
36,Peking University,China,72.2,51.0,64.3,62.8,63.7,69.1,71.6,74.2
37,Washington University in St Louis,United States,88.6,96.1,95.2,96.4,97.1,99.2,99.1,99.4
38,École Polytechnique,France,91.4,89.1,80.7,82.3,79.9,64.7,67.2,75.1
39,University of Edinburgh,United Kingdom,86.8,92.3,90.8,87.6,88.3,96.3,96.0,97.0
40,Hong Kong University of Science and Technology,Hong Kong,98.2,71.0,68.9,72.3,72.9,82.6,91.2,93.1
41,École Normale Supérieure,France,95.7,96.4,90.3,87.0,84.8,87.1,85.8,
42,University of Wisconsin,United States,92.5,84.1,92.5,89.6,92.3,72.7,81.1,82.4
43,University of Göttingen,Germany,92.5,84.1,92.5,89.6,92.3,72.7,81.1,82.4
44,Karolinska Institute,Sweden,62.3,73.1,77.3,76.0,76.8,92.2,95.9,95.9
45,Australian National University,Australia,81.0,72.6,73.5,71.2,71.1,72.3,81.7,85.5
46,Rice University,United States,99.1,99.9,100.0,99.9,99.9,99.7,99.1,98.7
47,École Polytechnique Fédérale de Lausanne,Switzerland,83.8,95.3,95.0,95.9,95.0,94.6,96.5,94.2
48,"University of California, Irvine",United States,91.6,93.5,90.3,89.7,89.5,91.6,94.1,93.6
49,University of Science and Technology of China,China,92.7,73.6,72.7,69.6,73.6,67.2,74.7,76.9
50,Vanderbilt University,United States,78.1,86.8,85.0,86.5,87.7,95.7,96.7,96.9
51,University of Minnesota,United States,76.4,85.4,84.7,81.2,82.9,88.0,87.0,87.5
52,Tufts University,United States,83.9,94.5,94.8,93.9,92.9,90.1,88.5,88.1
53,"University of California, Davis",United States,68.8,83.4,82.7,81.2,80.4,84.3,86.6,86.0
54,Brown University,United States,77.7,93.9,94.1,91.3,92.0,96.4,96.7,96.7
55,University of Massachusetts,United States,67.9,80.1,77.8,74.6,78.7,88.1,85.6,88.8
56,Kyoto University,Japan,46.3,56.3,57.8,58.2,57.0,46.6,50.4,50.9
57,Tsinghua University,China,52.7,37.4,55.2,59.9,65.0,58.8,67.4,71.4
58,Boston University,United States,91.4,95.6,94.2,95.3,94.4,97.7,97.7,97.2
59,New York University,United States,82.9,92.3,89.2,87.9,89.5,95.3,95.3,96.5
60,LMU Munich,Germany,76.4,84.6,85.5,83.3,83.0,85.7,87.4,91.3
61,Emory University,United States,77.8,90.9,90.9,90.8,89.5,96.7,97.4,98.1
62,University of Notre Dame,United States,89.1,94.1,93.5,91.8,90.0,81.7,80.2,83.0
63,University of Pittsburgh,United States,78.3,88.7,85.2,84.4,84.4,92.3,94.2,94.9
64,Case Western Reserve University,United States,66.0,78.4,80.4,82.8,82.9,92.0,90.2,90.1
