,location,name,nid,rank,rank_order,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
0,United States,California Institute of Technology,128779,1,1,99.9,3,97.0,26,56.0,172,94.8,98.2,4,95.7,2,"Civil Engineering,General Engineering,Chemistry,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Other Health,Mathematics & Statistics,Computer Science,History, Philosophy & Theology,Business & Management,Chemical Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Economics & Econometrics,Physics & Astronomy",/world-university-rankings/california-institute-technology
1,United States,Harvard University,466,2,2,99.8,7,35.9,212,67.5,115,93.9,97.4,5,95.8,1,"Other Health,Archaeology,Computer Science,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Psychology,Chemistry,Languages, Literature & Linguistics,Economics & Econometrics,Sociology,Law,Physics & Astronomy,General Engineering,Mechanical & Aerospace Engineering,Agriculture & Forestry,Electrical & Electronic Engineering,Chemical Engineering,History, Philosophy & Theology,Mathematics & Statistics,Geography,Biological Sciences",/world-university-rankings/harvard-university
2,United States,Stanford University,467,2,3,99.8,8,63.8,74,57.2,162,93.9,98.9,3,94.8,3,"Business & Management,General Engineering,Education,Chemistry,Law,Accounting & Finance,Biological Sciences,Economics & Econometrics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Geography,Languages, Literature & Linguistics,Archaeology,Sociology,Computer Science,Chemical Engineering,Electrical & Electronic Engineering,Psychology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Communication & Media Studies,Art, Performing Arts & Design,Architecture,Mathematics & Statistics,Physics & Astronomy",/world-university-rankings/stanford-university
3,United Kingdom,University of Oxford,468,4,4,97.9,15,62.1,81,91.9,12,93.6,96.6,6,89.5,8,"Politics & International Studies (incl Development Studies),General Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Psychology,Geography,Physics & Astronomy,Mathematics & Statistics,Chemistry,Economics & Econometrics,Civil Engineering,Law,Computer Science,Business & Management,Languages, Literature & Linguistics,History, Philosophy & Theology,Electrical & Electronic Engineering,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Archaeology,Chemical Engineering,Medicine & Dentistry,Education",/world-university-rankings/university-oxford
4,United States,Princeton University,469,5,5,100.0,2,81.0,43,49.6,198,92.9,99.1,2,91.5,6,"Chemical Engineering,Other Health,Art, Performing Arts & Design,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Psychology,Geology, Environmental, Earth & Marine Sciences,Chemistry,General Engineering,Biological Sciences,Mathematics & Statistics,Languages, Literature & Linguistics,Architecture,Economics & Econometrics,Civil Engineering,Electrical & Electronic Engineering,Sociology,Physics & Astronomy,Politics & International Studies (incl Development Studies),Computer Science",/world-university-rankings/princeton-university
5,United Kingdom,University of Cambridge,470,6,6,97.3,23,55.5,96,85.3,38,92.4,94.2,7,90.5,7,"Biological Sciences,Physics & Astronomy,Civil Engineering,Chemistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Computer Science,Sociology,Mathematics & Statistics,Geography,Economics & Econometrics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Law,Languages, Literature & Linguistics,Art, Performing Arts & Design,Business & Management,Education,Mechanical & Aerospace Engineering,Architecture,Electrical & Electronic Engineering,Archaeology,Veterinary Science,Chemical Engineering,Medicine & Dentistry",/world-university-rankings/university-cambridge
6,United States,Massachusetts Institute of Technology,471,7,7,100.0,1,94.4,28,79.2,63,92.3,87.4,13,92.7,4,"Chemistry,Archaeology,Other Health,Accounting & Finance,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Architecture,Communication & Media Studies,Chemical Engineering,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,General Engineering,Physics & Astronomy,Mathematics & Statistics,Biological Sciences,Civil Engineering,Computer Science,Business & Management,Languages, Literature & Linguistics,Economics & Econometrics,History, Philosophy & Theology,Politics & International Studies (incl Development Studies)",/world-university-rankings/massachusetts-institute-technology
7,United Kingdom,Imperial College London,472,8,8,93.9,35,93.1,30,92.2,11,90.7,88.7,12,88.8,11,"General Engineering,Accounting & Finance,Business & Management,Medicine & Dentistry,Biological Sciences,Civil Engineering,Mathematics & Statistics,Mechanical & Aerospace Engineering,Physics & Astronomy,Electrical & Electronic Engineering,Chemical Engineering,Computer Science,Chemistry,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/imperial-college-london
8,United States,University of Chicago,473,9,9,99.4,10,-,389,58.8,155,90.2,90.8,10,89.4,9,"Medicine & Dentistry,Physics & Astronomy,Business & Management,Biological Sciences,Accounting & Finance,Psychology,Law,Chemistry,Geology, Environmental, Earth & Marine Sciences,Geography,Mathematics & Statistics,Computer Science,Sociology,Politics & International Studies (incl Development Studies),Economics & Econometrics,Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design,Archaeology",/world-university-rankings/university-chicago
9,United States,"University of California, Berkeley",474,10,10,99.4,9,62.5,79,50.4,196,89.8,99.4,1,82.8,15,"Education,Civil Engineering,Chemical Engineering,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Other Health,General Engineering,Biological Sciences,Psychology,Geography,Physics & Astronomy,Chemistry,Mathematics & Statistics,Languages, Literature & Linguistics,Business & Management,Computer Science,Archaeology,Mechanical & Aerospace Engineering,Law,Communication & Media Studies,Art, Performing Arts & Design,History, Philosophy & Theology,Architecture,Agriculture & Forestry",/world-university-rankings/university-california-berkeley
