,location,name,nid,rank,rank_order,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,percentage_male,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url,male_students
0,United Kingdom,University of Oxford,468,1,1,99.1,15,63.7,169,95.0,24,94.3,99.5,1,86.7,5,54.0,20409,38%,11.2,"Politics & International Studies (incl Development Studies),General Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Psychology,Geography,Physics & Astronomy,Mathematics & Statistics,Chemistry,Economics & Econometrics,Civil Engineering,Law,Computer Science,Business & Management,Languages, Literature & Linguistics,History, Philosophy & Theology,Electrical & Electronic Engineering,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Archaeology,Chemical Engineering,Medicine & Dentistry,Education",/world-university-rankings/university-oxford,11020.0
1,United Kingdom,University of Cambridge,470,2,2,97.5,29,51.5,260,93.0,35,93.2,97.8,3,87.8,3,55.0,18389,35%,10.9,"Biological Sciences,Physics & Astronomy,Civil Engineering,Chemistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Computer Science,Sociology,Mathematics & Statistics,Geography,Economics & Econometrics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Law,Languages, Literature & Linguistics,Art, Performing Arts & Design,Business & Management,Education,Mechanical & Aerospace Engineering,Architecture,Electrical & Electronic Engineering,Archaeology,Veterinary Science,Chemical Engineering,Medicine & Dentistry",/world-university-rankings/university-cambridge,10113.0
2,United States,California Institute of Technology,128779,=3,3,99.5,10,92.6,51,59.7,322,93.0,97.5,4,90.3,1,69.0,2209,27%,6.5,"Civil Engineering,General Engineering,Chemistry,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Other Health,Mathematics & Statistics,Computer Science,History, Philosophy & Theology,Business & Management,Chemical Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Economics & Econometrics,Physics & Astronomy",/world-university-rankings/california-institute-technology,1524.0
3,United States,Stanford University,467,=3,4,99.9,4,60.5,189,77.6,162,93.0,96.7,5,89.1,2,58.0,15845,22%,7.5,"Business & Management,General Engineering,Education,Chemistry,Law,Accounting & Finance,Biological Sciences,Economics & Econometrics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Geography,Languages, Literature & Linguistics,Archaeology,Sociology,Computer Science,Chemical Engineering,Electrical & Electronic Engineering,Psychology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Communication & Media Studies,Art, Performing Arts & Design,Architecture,Mathematics & Statistics,Physics & Astronomy",/world-university-rankings/stanford-university,9190.0
4,United States,Massachusetts Institute of Technology,471,5,5,100.0,1,88.4,63,87.6,81,92.5,91.9,9,87.3,4,63.0,11177,34%,8.7,"Chemistry,Archaeology,Other Health,Accounting & Finance,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Architecture,Communication & Media Studies,Chemical Engineering,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,General Engineering,Physics & Astronomy,Mathematics & Statistics,Biological Sciences,Civil Engineering,Computer Science,Business & Management,Languages, Literature & Linguistics,Economics & Econometrics,History, Philosophy & Theology,Politics & International Studies (incl Development Studies)",/world-university-rankings/massachusetts-institute-technology,7041.0
5,United States,Harvard University,466,6,6,99.7,8,46.4,330,79.7,143,91.8,98.4,2,84.2,9,47.0,20326,26%,8.9,"Other Health,Archaeology,Computer Science,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Psychology,Chemistry,Languages, Literature & Linguistics,Economics & Econometrics,Sociology,Law,Physics & Astronomy,General Engineering,Mechanical & Aerospace Engineering,Agriculture & Forestry,Electrical & Electronic Engineering,Chemical Engineering,History, Philosophy & Theology,Mathematics & Statistics,Geography,Biological Sciences",/world-university-rankings/harvard-university,
6,United States,Princeton University,469,7,7,99.6,9,58.0,204,78.7,152,91.1,93.9,6,85.7,7,55.0,7955,24%,8.3,"Chemical Engineering,Other Health,Art, Performing Arts & Design,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Psychology,Geology, Environmental, Earth & Marine Sciences,Chemistry,General Engineering,Biological Sciences,Mathematics & Statistics,Languages, Literature & Linguistics,Architecture,Economics & Econometrics,Civil Engineering,Electrical & Electronic Engineering,Sociology,Physics & Astronomy,Politics & International Studies (incl Development Studies),Computer Science",/world-university-rankings/princeton-university,4375.0
7,United Kingdom,Imperial College London,472,8,8,96.7,40,71.6,120,96.6,13,89.2,88.7,12,81.7,13,63.0,15857,55%,11.4,"General Engineering,Accounting & Finance,Business & Management,Medicine & Dentistry,Biological Sciences,Civil Engineering,Mathematics & Statistics,Mechanical & Aerospace Engineering,Physics & Astronomy,Electrical & Electronic Engineering,Chemical Engineering,Computer Science,Chemistry,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/imperial-college-london,9989.0
8,United States,University of Chicago,473,9,9,99.4,12,39.8,488,69.6,231,88.6,90.1,10,85.3,8,56.0,13525,25%,6.2,"Medicine & Dentistry,Physics & Astronomy,Business & Management,Biological Sciences,Accounting & Finance,Psychology,Law,Chemistry,Geology, Environmental, Earth & Marine Sciences,Geography,Mathematics & Statistics,Computer Science,Sociology,Politics & International Studies (incl Development Studies),Economics & Econometrics,Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design,Archaeology",/world-university-rankings/university-chicago,7574.0
9,Switzerland,ETH Zurich – Swiss Federal Institute of Technology Zurich,479,=10,10,94.3,60,60.3,190,98.1,8,87.7,92.0,8,76.4,21,69.0,19233,38%,14.6,"Mathematics & Statistics,Business & Management,Politics & International Studies (incl Development Studies),Chemical Engineering,Biological Sciences,Agriculture & Forestry,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Medicine & Dentistry,Electrical & Electronic Engineering,Architecture,Accounting & Finance,Computer Science,Physics & Astronomy,General Engineering,Civil Engineering,Chemistry",/world-university-rankings/eth-zurich-swiss-federal-institute-technology-zurich,13270.0
