,name,location,2011,2012,2013,2014,2015,2016,2017,2018
0,Harvard University,United States,72.4,67.5,63.7,66.2,67.6,77.2,77.9,79.7
1,California Institute of Technology,United States,54.6,56.0,59.8,65.8,67.0,64.0,63.4,59.7
2,Massachusetts Institute of Technology,United States,82.3,79.2,81.6,82.0,84.3,84.0,85.6,87.6
3,Stanford University,United States,29.5,57.2,56.6,68.0,69.0,76.3,76.5,77.6
4,Princeton University,United States,70.3,49.6,54.5,59.6,61.2,78.5,77.2,78.7
5,University of Oxford,United Kingdom,77.2,91.9,88.7,90.2,90.7,94.4,94.5,95.0
6,University of Cambridge,United Kingdom,77.7,85.3,83.6,86.7,87.8,91.5,92.4,93.0
7,"University of California, Berkeley",United States,39.6,50.4,49.7,57.3,58.5,61.9,59.6,64.5
8,Imperial College London,United Kingdom,90.0,92.2,91.4,91.8,92.7,96.0,96.5,96.6
9,Yale University,United States,59.2,55.5,54.7,57.6,59.8,64.3,64.3,64.6
10,"University of California, Los Angeles",United States,48.1,41.0,42.3,46.4,49.2,56.4,58.0,59.5
11,University of Chicago,United States,62.8,58.8,55.3,58.6,65.2,65.0,67.8,69.6
12,Johns Hopkins University,United States,58.5,59.9,57.3,59.3,59.7,70.0,71.1,70.6
13,Cornell University,United States,62.4,53.4,53.8,55.6,59.0,63.9,62.2,69.2
14,University of Michigan,United States,53.3,47.2,47.6,49.5,49.8,53.7,54.6,55.8
15,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,93.7,97.5,95.7,96.7,96.6,97.9,98.1,98.1
16,University of Toronto,Canada,-,69.0,65.1,70.0,71.2,77.8,78.3,80.1
17,Columbia University,United States,90.9,67.6,66.1,68.0,68.3,73.5,75.3,76.6
18,University of Pennsylvania,United States,32.9,34.3,38.1,40.6,43.8,49.5,50.1,61.3
19,Carnegie Mellon University,United States,39.1,55.0,51.4,58.1,59.3,57.1,59.6,79.1
20,University of Hong Kong,Hong Kong,91.4,83.7,81.7,80.3,81.9,99.5,99.4,99.5
21,UCL,United Kingdom,90.8,91.8,89.0,90.2,90.6,94.4,94.3,94.6
22,University of Washington,United States,49.0,36.9,39.1,43.2,47.9,51.2,55.0,56.5
23,Duke University,United States,49.4,46.9,45.8,50.0,50.5,56.5,58.2,62.5
24,Northwestern University,United States,60.5,35.3,33.8,34.4,36.7,53.9,56.1,59.2
25,The University of Tokyo,Japan,18.4,23.0,27.6,29.6,32.4,30.3,30.6,32.2
26,Georgia Institute of Technology,United States,73.2,65.0,66.3,67.8,68.9,71.5,72.8,75.0
27,Pohang University of Science and Technology,South Korea,32.6,25.0,28.8,33.8,36.0,33.7,34.2,34.3
28,"University of California, Santa Barbara",United States,64.3,52.6,58.3,61.8,64.3,61.5,63.3,65.4
