,name,location,2011,2012,2013,2014,2015,2016,2017,2018
0,Harvard University,United States,99.7,95.8,94.9,95.3,92.9,83.6,87.5,84.2
1,California Institute of Technology,United States,97.7,95.7,96.3,94.4,92.2,95.6,95.5,90.3
2,Massachusetts Institute of Technology,United States,97.8,92.7,92.9,92.9,89.1,89.4,90.3,87.3
3,Stanford University,United States,98.3,94.8,95.0,94.7,91.5,92.5,92.6,89.1
4,Princeton University,United States,90.9,91.5,89.5,89.9,86.6,85.1,89.5,85.7
5,University of Oxford,United Kingdom,88.2,89.5,89.7,89.0,88.6,86.5,89.6,86.7
6,University of Cambridge,United Kingdom,90.5,90.5,91.2,90.6,89.7,88.2,90.6,87.8
7,"University of California, Berkeley",United States,84.2,82.8,85.1,83.2,84.2,80.4,82.4,77.4
8,Imperial College London,United Kingdom,89.2,88.8,88.0,84.5,84.6,83.3,86.4,81.7
9,Yale University,United States,92.1,92.3,93.2,89.5,88.5,86.5,88.5,86.7
10,"University of California, Los Angeles",United States,83.0,85.9,87.3,84.8,82.4,80.8,82.9,80.7
11,University of Chicago,United States,79.1,89.4,89.6,85.6,83.9,85.7,88.1,85.3
12,Johns Hopkins University,United States,80.9,78.9,81.8,75.7,75.6,77.6,77.4,76.1
13,Cornell University,United States,82.2,70.4,77.0,72.1,71.6,77.9,79.7,76.2
14,University of Michigan,United States,83.9,75.4,76.1,70.0,77.0,76.8,79.4,77.2
15,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,77.5,79.1,82.5,77.6,78.2,77.0,81.5,76.4
16,University of Toronto,Canada,75.8,76.9,79.6,73.6,74.4,75.9,74.6,74.6
17,Columbia University,United States,73.8,89.1,89.7,86.6,83.9,85.9,86.9,82.2
18,University of Pennsylvania,United States,71.8,87.0,90.0,79.8,79.0,82.0,85.9,83.7
19,Carnegie Mellon University,United States,70.3,65.7,71.8,63.1,61.6,67.4,70.2,65.8
20,University of Hong Kong,Hong Kong,68.4,74.0,78.4,61.6,62.1,64.6,66.5,68.8
21,UCL,United Kingdom,74.0,77.8,83.5,70.5,70.4,78.1,77.4,74.4
22,University of Washington,United States,68.2,70.8,74.7,65.6,64.5,67.1,70.2,67.9
23,Duke University,United States,66.8,62.6,72.3,73.9,73.5,76.0,80.7,80.7
24,Northwestern University,United States,64.5,66.3,77.6,70.2,72.7,69.8,75.8,72.6
25,The University of Tokyo,Japan,87.7,86.1,87.9,84.7,81.4,81.4,83.4,79.5
26,Georgia Institute of Technology,United States,67.9,66.6,70.2,59.4,62.5,57.8,60.8,59.7
27,Pohang University of Science and Technology,South Korea,69.5,56.4,63.9,54.2,52.7,49.1,53.8,47.9
28,"University of California, Santa Barbara",United States,56.6,55.0,56.1,47.8,49.4,52.6,52.2,50.0
29,University of North Carolina at Chapel Hill,United States,70.9,67.6,70.4,57.6,57.9,58.0,61.9,57.9
30,University of British Columbia,Canada,65.1,68.6,69.1,59.9,60.5,60.2,61.2,61.8
31,"University of California, San Diego",United States,59.8,61.4,63.4,52.0,52.0,56.9,61.2,62.9
32,University of Illinois at Urbana-Champaign,United States,68.1,67.9,74.2,66.0,67.7,64.5,65.6,65.8
33,National University of Singapore,Singapore,65.5,65.7,74.4,68.0,72.0,71.7,76.7,77.4
34,McGill University,Canada,69.0,72.8,74.4,61.5,63.3,66.1,66.4,63.4
35,University of Melbourne,Australia,58.7,62.2,68.4,57.1,60.4,62.0,65.4,64.9
36,Peking University,China,76.4,82.3,81.5,72.3,70.0,77.8,84.6,83.0
37,Washington University in St Louis,United States,58.9,64.0,66.0,59.5,57.6,54.3,60.7,60.8
38,École Polytechnique,France,57.9,50.4,56.5,46.3,50.5,53.5,58.6,54.4
39,University of Edinburgh,United Kingdom,59.9,63.0,68.4,56.6,58.9,68.6,67.5,66.8
40,Hong Kong University of Science and Technology,Hong Kong,50.4,51.0,56.9,52.4,51.8,49.4,53.2,55.2
41,École Normale Supérieure,France,66.8,56.6,61.6,54.6,48.7,70.6,59.8,
42,University of Wisconsin,United States,55.5,51.4,50.0,45.1,46.9,49.3,49.7,47.1
43,University of Göttingen,Germany,57.3,51.4,50.0,45.1,46.9,49.3,49.7,47.1
44,Karolinska Institute,Sweden,65.8,69.9,66.3,58.1,57.1,60.6,62.1,57.0
45,Australian National University,Australia,51.9,62.8,68.6,51.8,53.7,54.7,54.0,52.7
46,Rice University,United States,57.4,45.9,49.5,44.1,41.7,37.9,46.9,45.1
47,École Polytechnique Fédérale de Lausanne,Switzerland,55.0,53.1,62.4,52.9,54.7,61.3,62.9,58.8
48,"University of California, Irvine",United States,49.4,36.2,44.0,37.1,39.5,39.9,42.5,43.4
49,University of Science and Technology of China,China,57.5,38.9,39.2,38.7,36.9,46.7,51.8,52.7
50,Vanderbilt University,United States,64.9,52.1,51.5,46.8,46.0,47.8,50.1,47.7
51,University of Minnesota,United States,57.6,66.1,66.1,61.4,59.9,53.5,60.3,57.6
52,Tufts University,United States,64.1,45.8,52.6,46.7,43.6,45.2,48.1,44.1
53,"University of California, Davis",United States,57.3,68.0,67.9,55.5,54.4,60.1,61.4,60.9
54,Brown University,United States,59.7,59.8,63.7,55.4,55.5,62.8,66.3,63.8
55,University of Massachusetts,United States,61.3,54.0,57.1,40.7,44.8,40.2,40.4,36.3
56,Kyoto University,Japan,78.9,76.4,77.1,69.5,70.4,70.6,70.2,71.8
57,Tsinghua University,China,74.9,74.1,74.5,66.8,64.1,73.3,78.9,80.2
58,Boston University,United States,53.6,60.7,65.4,56.5,56.4,57.8,60.2,57.1
59,New York University,United States,62.0,60.2,73.8,65.4,68.3,74.7,75.1,73.7
60,LMU Munich,Germany,59.1,63.8,65.4,55.4,65.1,70.5,70.5,65.4
61,Emory University,United States,63.4,48.4,56.7,50.4,49.0,48.3,52.9,47.1
62,University of Notre Dame,United States,56.4,42.6,48.3,41.2,43.3,47.6,50.2,49.8
63,University of Pittsburgh,United States,58.5,54.3,54.6,48.6,45.2,50.6,49.2,45.7
